question_id,question,source  ,category,topic,notes,status
,Plain text of the question itself.,"Source of the question. Either the researcher that originally proposed it, the authors and date of the paper or prior work from which it was drawn, or, in the case of LLM-generated suggestions, the AI model.","""personal"" or ""small talk"" (whichever category the original question writer used to come up with the question)","[OPTIONAL]
Topic area or psychological construct the question probes (e.g., ""preferences"" or ""religion""). Values in this column will not be enforced but offer the possibility of useful organization down the line.","[OPTIONAL]
Any useful context or guidance about this question.","What the question is being used for. Possible values include ""brainstorm"", ""norming study"", ""normed selection"". "
1,"Given the choice of anyone in the world (alive or dead), whom would you want as a dinner guest?","Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
2,Would you like to be famous? In what way?,"Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
3,"Before making a telephone call, do you ever rehearse what you are going to say? Why?","Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
4,What would constitute a perfect day for you?,"Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
5,When did you last sing to yourself? To someone else?,"Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
6,"If you were able to live to the age of 90 and retain either the mind or body of a 30-year-old for the last 60 years of your life, which would you want?","Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
7,Do you have a secret hunch about how you will die?,"Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
8,Name three things you and your closest friend or partner have in common.,"Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
9,For what in your life do you feel most grateful?,"Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
10,"If you could change anything about the way you were raised, what would it be?","Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
11,"In the space provided, take several minutes to tell your life story in as much detail as possible.","Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
12,"If you could wake up tomorrow having gained any one quality or ability, what would it be?","Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
13,"If a crystal ball could tell you the truth about yourself, your life, the future, or anything else, what would you want to know?","Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
14,Is there something that you’ve dreamed of doing for a long time? Why haven’t you done it?,"Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
15,What is the greatest accomplishment of your life?,"Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
16,What do you value most in a friendship?,"Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
17,What is your most treasured memory?,"Aron, Melinat, Aron, Vallone, & Bator, 1997",personal,,,norming study 1
